NAMESPACE      LAST SEEN   TYPE      REASON                    OBJECT                                 MESSAGE
default        85m         Normal    Starting                  node/ip-192-168-17-4.ec2.internal      
default        85m         Normal    Starting                  node/ip-192-168-48-229.ec2.internal    
default        9m9s        Normal    Starting                  node/ip-192-168-5-209.ec2.internal     
default        9m9s        Normal    Starting                  node/ip-192-168-57-200.ec2.internal    
kube-system    86m         Warning   FailedScheduling          pod/coredns-5959c9b9c4-gs8xh           no nodes available to schedule pods
kube-system    86m         Warning   FailedScheduling          pod/coredns-5959c9b9c4-nsjbd           no nodes available to schedule pods
default        85m         Warning   InvalidDiskCapacity       node/ip-192-168-48-229.ec2.internal    invalid capacity 0 on image filesystem
default        85m         Normal    NodeHasSufficientMemory   node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal status is now: NodeHasSufficientMemory
default        85m         Normal    Starting                  node/ip-192-168-17-4.ec2.internal      Starting kubelet.
default        85m         Warning   InvalidDiskCapacity       node/ip-192-168-17-4.ec2.internal      invalid capacity 0 on image filesystem
default        85m         Normal    NodeHasSufficientMemory   node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal status is now: NodeHasSufficientMemory
default        85m         Normal    NodeAllocatableEnforced   node/ip-192-168-17-4.ec2.internal      Updated Node Allocatable limit across pods
default        85m         Normal    NodeAllocatableEnforced   node/ip-192-168-48-229.ec2.internal    Updated Node Allocatable limit across pods
default        85m         Normal    NodeHasSufficientPID      node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal status is now: NodeHasSufficientPID
default        85m         Normal    NodeHasNoDiskPressure     node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal status is now: NodeHasNoDiskPressure
default        85m         Normal    NodeHasNoDiskPressure     node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal status is now: NodeHasNoDiskPressure
default        85m         Normal    NodeHasSufficientPID      node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal status is now: NodeHasSufficientPID
default        85m         Normal    Starting                  node/ip-192-168-48-229.ec2.internal    Starting kubelet.
kube-system    85m         Normal    SuccessfulCreate          daemonset/kube-proxy                   Created pod: kube-proxy-4jfkp
kube-system    85m         Normal    Scheduled                 pod/aws-node-rdgp7                     Successfully assigned kube-system/aws-node-rdgp7 to ip-192-168-17-4.ec2.internal
kube-system    85m         Normal    SuccessfulCreate          daemonset/kube-proxy                   Created pod: kube-proxy-nsfxh
kube-system    85m         Normal    SuccessfulCreate          daemonset/aws-node                     Created pod: aws-node-rdgp7
kube-system    85m         Normal    SuccessfulCreate          daemonset/aws-node                     Created pod: aws-node-c979v
kube-system    85m         Normal    Scheduled                 pod/kube-proxy-nsfxh                   Successfully assigned kube-system/kube-proxy-nsfxh to ip-192-168-17-4.ec2.internal
kube-system    85m         Normal    Scheduled                 pod/kube-proxy-4jfkp                   Successfully assigned kube-system/kube-proxy-4jfkp to ip-192-168-48-229.ec2.internal
kube-system    85m         Normal    Scheduled                 pod/aws-node-c979v                     Successfully assigned kube-system/aws-node-c979v to ip-192-168-48-229.ec2.internal
kube-system    85m         Normal    Pulling                   pod/aws-node-rdgp7                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.21.2-eksbuild.2"
default        85m         Normal    Synced                    node/ip-192-168-17-4.ec2.internal      Node synced successfully
kube-system    85m         Normal    Pulling                   pod/kube-proxy-nsfxh                   Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.11"
default        85m         Normal    Synced                    node/ip-192-168-48-229.ec2.internal    Node synced successfully
kube-system    85m         Normal    Pulling                   pod/aws-node-c979v                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.21.2-eksbuild.2"
kube-system    85m         Normal    Pulling                   pod/kube-proxy-4jfkp                   Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.11"
default        85m         Normal    RegisteredNode            node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal event: Registered Node ip-192-168-17-4.ec2.internal in Controller
default        85m         Normal    RegisteredNode            node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal event: Registered Node ip-192-168-48-229.ec2.internal in Controller
