% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 30.99    0.000940           8       114           rt_sigaction
 13.62    0.000413          11        35           mmap
  8.04    0.000244         244         1           execve
  7.91    0.000240          20        12           futex
  6.26    0.000190          27         7           mprotect
  6.00    0.000182           9        19           rt_sigprocmask
  5.04    0.000153          38         4           clone3
  4.22    0.000128          25         5           epoll_pwait
  3.79    0.000115          14         8         1 read
  2.14    0.000065          13         5           openat
  2.08    0.000063          63         1           nanosleep
  1.02    0.000031           6         5           close
  1.02    0.000031           3        10           fcntl
  0.92    0.000028          14         2         1 newfstatat
  0.89    0.000027           6         4           prlimit64
  0.82    0.000025           8         3           brk
  0.69    0.000021           5         4           fstat
  0.59    0.000018          18         1           munmap
  0.56    0.000017           8         2           madvise
  0.49    0.000015           7         2           sigaltstack
  0.49    0.000015           7         2           sched_getaffinity
  0.46    0.000014           1        10           pread64
  0.40    0.000012          12         1           rt_sigreturn
  0.26    0.000008           8         1         1 access
  0.23    0.000007           7         1           getrandom
  0.23    0.000007           7         1           rseq
  0.20    0.000006           6         1           arch_prctl
  0.20    0.000006           6         1           gettid
  0.20    0.000006           6         1           set_tid_address
  0.20    0.000006           6         1           set_robust_list
  0.00    0.000000           0         5           write
  0.00    0.000000           0         2         1 epoll_ctl
  0.00    0.000000           0         1           readlinkat
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ------------------
100.00    0.003033          11       274         4 total
