% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 29.19    0.000705          10        65         1 futex
 22.28    0.000538           4       114           rt_sigaction
 10.06    0.000243           9        26           mmap
  6.67    0.000161          20         8           rt_sigprocmask
  4.47    0.000108          36         3           clone
  3.69    0.000089          11         8           pread64
  3.69    0.000089           6        14           fcntl
  2.94    0.000071          14         5           write
  2.53    0.000061           7         8           epoll_pwait
  2.11    0.000051          25         2           readlinkat
  1.41    0.000034          34         1           nanosleep
  1.33    0.000032          10         3           openat
  1.16    0.000028           7         4           getpid
  1.16    0.000028           7         4         1 newfstatat
  1.12    0.000027          27         1           epoll_create1
  0.87    0.000021          10         2           prlimit64
  0.75    0.000018           4         4         2 epoll_ctl
  0.70    0.000017           8         2           statfs
  0.66    0.000016           8         2           madvise
  0.54    0.000013          13         1           uname
  0.50    0.000012           6         2           sched_yield
  0.46    0.000011          11         1           eventfd2
  0.37    0.000009           3         3           close
  0.37    0.000009           4         2           fstat
  0.33    0.000008           1         6           rt_sigreturn
  0.29    0.000007           7         1           gettid
  0.25    0.000006           3         2           sigaltstack
  0.12    0.000003           0         7         2 read
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           connect
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         1           getpeername
  0.00    0.000000           0         4         1 getsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
------ ----------- ----------- --------- --------- ------------------
100.00    0.002415           7       312         7 total
